Title,Directed by,Starring,Lead,Release_date_dt,Release_month,Running_time_min,Country,Language,Budget,Box_office,Box_office_opening,Rating
Iron Man,Jon Favreau,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges', 'Shaun Toub', 'Gwyneth Paltrow']",Robert Downey Jr.,2008-04-14,4,126,United States,English,140000000.0,585800000.0,98618668.0,PG-13
The Incredible Hulk,Louis Leterrier,"['Edward Norton', 'Liv Tyler', 'Tim Roth', 'Tim Blake Nelson', 'Ty Burrell', 'William Hurt']",Edward Norton,2008-06-08,6,112,United States,English,137500000.0,264800000.0,55414050.0,PG-13
Iron Man 2,Jon Favreau,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Sam Rockwell', 'Mickey Rourke', 'Samuel L. Jackson']",Robert Downey Jr.,2010-04-26,4,125,United States,English,170000000.0,623900000.0,128122480.0,PG-13
Thor,Kenneth Branagh,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Stellan Skarsgård', 'Colm Feore', 'Ray Stevenson', 'Idris Elba', 'Kat Dennings', 'Rene Russo', 'Anthony Hopkins']",Chris Hemsworth,2011-04-17,4,114,United States,English,150000000.0,449300000.0,65723338.0,PG-13
Captain America: The First Avenger,Joe Johnston,"['Chris Evans', 'Tommy Lee Jones', 'Hugo Weaving', 'Hayley Atwell', 'Sebastian Stan', 'Dominic Cooper', 'Neal McDonough', 'Derek Luke', 'Stanley Tucci']",Chris Evans,2011-07-19,7,124,United States,English,140000000.0,370600000.0,65058524.0,PG-13
The Avengers,Joss Whedon,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Clark Gregg', 'Cobie Smulders', 'Stellan Skarsgård', 'Samuel L. Jackson']",Robert Downey Jr.,2012-04-11,4,143,United States,English,220000000.0,1519000000.0,207438708.0,PG-13
Iron Man 3,Shane Black,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall', 'Stéphanie Szostak', 'James Badge Dale', 'Jon Favreau', 'Ben Kingsley']",Robert Downey Jr.,2013-04-14,4,131,United States,English,200000000.0,1215000000.0,174144585.0,PG-13
Thor: The Dark World,Alan Taylor,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Anthony Hopkins', 'Stellan Skarsgård', 'Idris Elba', 'Christopher Eccleston', 'Adewale Akinnuoye-Agbaje', 'Kat Dennings', 'Ray Stevenson', 'Zachary Levi', 'Tadanobu Asano', 'Jaimie Alexander', 'Rene Russo']",Chris Hemsworth,2013-10-22,10,112,United States,English,150000000.0,644800000.0,85737841.0,PG-13
Captain America: The Winter Soldier,"['Anthony Russo', 'Joe Russo']","['Chris Evans', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Cobie Smulders', 'Frank Grillo', 'Emily VanCamp', 'Hayley Atwell', 'Robert Redford', 'Samuel L. Jackson']",Chris Evans,2014-03-13,3,136,United States,English,170000000.0,714400000.0,95023721.0,PG-13
Guardians of the Galaxy,James Gunn,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Lee Pace', 'Michael Rooker', 'Karen Gillan', 'Djimon Hounsou', 'John C. Reilly', 'Glenn Close', 'Benicio del Toro']",Chris Pratt,2014-07-21,7,122,United States,English,232300000.0,772800000.0,94320883.0,PG-13
Avengers: Age of Ultron,Joss Whedon,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Paul Bettany', 'Cobie Smulders', 'Anthony Mackie', 'Hayley Atwell', 'Idris Elba', 'Stellan Skarsgård', 'James Spader', 'Samuel L. Jackson']",Robert Downey Jr.,2015-04-13,4,141,United States,English,444000000.0,1403000000.0,191271109.0,PG-13
Ant-Man,Peyton Reed,"['Paul Rudd', 'Evangeline Lilly', 'Corey Stoll', 'Bobby Cannavale', 'Michael Peña', 'Tip ""T.I."" Harris', 'Anthony Mackie', 'Wood Harris', 'Judy Greer', 'David Dastmalchian', 'Michael Douglas']",Paul Rudd,2015-06-29,6,117,United States,English,130000000.0,519299999.99999994,57225526.0,PG-13
Captain America: Civil War,"['Anthony Russo Joe Russo', 'Anthony Russo', 'Joe Russo']","['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Don Cheadle', 'Jeremy Renner', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Paul Rudd', 'Emily VanCamp', 'Tom Holland', 'Frank Grillo', 'William Hurt', 'Daniel Brühl']",Chris Evans,2016-04-12,4,147,United States,English,250000000.0,1153000000.0,179139142.0,PG-13
Doctor Strange,Scott Derrickson,"['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams', 'Benedict Wong', 'Michael Stuhlbarg', 'Benjamin Bratt', 'Scott Adkins', 'Mads Mikkelsen', 'Tilda Swinton']",Benedict Cumberbatch,2016-10-13,10,115,United States,English,165000000.0,677700000.0,85058311.0,PG-13
Guardians of the Galaxy Vol. 2,James Gunn,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Michael Rooker', 'Karen Gillan', 'Pom Klementieff', 'Elizabeth Debicki', 'Chris Sullivan', 'Sean Gunn', 'Sylvester Stallone', 'Kurt Russell']",Chris Pratt,2017-04-10,4,137,United States,English,200000000.0,863800000.0,146510104.0,PG-13
Spider-Man: Homecoming,Jon Watts,"['Tom Holland', 'Michael Keaton', 'Jon Favreau', 'Gwyneth Paltrow', 'Zendaya', 'Donald Glover', 'Jacob Batalon', 'Laura Harrier', 'Tony Revolori', 'Bokeem Woodbine', 'Tyne Daly', 'Marisa Tomei', 'Robert Downey Jr.']",Tom Holland,2017-06-28,6,133,United States,English,175000000.0,880200000.0,117027503.0,PG-13
Thor: Ragnarok,Taika Waititi,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Idris Elba', 'Jeff Goldblum', 'Tessa Thompson', 'Karl Urban', 'Mark Ruffalo', 'Anthony Hopkins']",Chris Hemsworth,2017-10-10,10,130,United States,English,180000000.0,854000000.0,122744989.0,PG-13
Black Panther,Ryan Coogler,"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira', 'Martin Freeman', 'Daniel Kaluuya', 'Letitia Wright', 'Winston Duke', 'Angela Bassett', 'Forest Whitaker', 'Andy Serkis']",Chadwick Boseman,2018-01-29,1,134,United States,English,200000000.0,1348000000.0,202003951.0,PG-13
Avengers: Infinity War,"['Anthony Russo', 'Joe Russo']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Benedict Cumberbatch', 'Don Cheadle', 'Tom Holland', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Anthony Mackie', 'Sebastian Stan', 'Danai Gurira', 'Letitia Wright', 'Dave Bautista', 'Zoe Saldana', 'Josh Brolin', 'Chris Pratt']",Robert Downey Jr.,2018-04-23,4,149,United States,English,325000000.0,2048000000.0,257698183.0,PG-13
Ant-Man and the Wasp,Peyton Reed,"['Paul Rudd', 'Evangeline Lilly', 'Michael Peña', 'Walton Goggins', 'Bobby Cannavale', 'Judy Greer', 'Tip ""T.I."" Harris', 'David Dastmalchian', 'Hannah John-Kamen', 'Abby Ryder Fortson', 'Randall Park', 'Michelle Pfeiffer', 'Laurence Fishburne', 'Michael Douglas']",Paul Rudd,2018-06-25,6,118,United States,English,130000000.0,622700000.0,75812205.0,PG-13
Captain Marvel,"['Anna Boden', 'Ryan Fleck']","['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Djimon Hounsou', 'Lee Pace', 'Lashana Lynch', 'Gemma Chan', 'Annette Bening', 'Clark Gregg', 'Jude Law']",Brie Larson,2019-02-27,2,124,United States,English,152000000.0,1128000000.0,153433423.0,PG-13
Avengers: Endgame,"['Anthony Russo', 'Joe Russo']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Brie Larson', 'Karen Gillan', 'Danai Gurira', 'Benedict Wong', 'Jon Favreau', 'Bradley Cooper', 'Gwyneth Paltrow', 'Josh Brolin']",Robert Downey Jr.,2019-04-22,4,181,United States,English,356000000.0,2798000000.0,357115007.0,PG-13
Spider-Man: Far From Home,Jon Watts,"['Tom Holland', 'Samuel L. Jackson', 'Zendaya', 'Cobie Smulders', 'Jon Favreau', 'J. B. Smoove', 'Jacob Batalon', 'Martin Starr', 'Marisa Tomei', 'Jake Gyllenhaal']",Tom Holland,2019-06-26,6,129,United States,English,160000000.0,1132000000.0,92579212.0,PG-13
